Dataset,Length band,SacreBLEU,chrF++,TER,METEOR,N
Clean,1–5,35.52529343330375,47.83923783172707,67.79456193353475,56.95131843442876,353
Clean,6–10,35.23732456202738,50.4714829103852,62.265344863952755,60.216933276756976,513
Clean,11–20,38.66418784349944,55.96372289988045,54.53247000571319,65.91977283102649,619
Clean,21–30,40.88134354439367,59.45802881760386,50.657318141980724,68.22345026770043,204
Clean,31+,41.731991734735445,63.288896301278605,47.335203366058906,70.19716514206046,211
Unclean,1–5,29.72796568441262,44.12933026019902,73.74686716791979,48.68994261439613,343
Unclean,6–10,28.95363311539863,46.44749786782783,67.63355592654425,54.760622010298995,523
Unclean,11–20,32.557272351338064,52.02464180417204,59.47363309701855,60.47489943988249,611
Unclean,21–30,35.55097046582693,55.36304867148048,55.965710286913925,63.1571441428301,205
Unclean,31+,36.3379405417831,59.72978194271137,52.43755383290267,65.81912848880927,218
